"Job_Title","New_JobTitle","Job_Level"
"Workforce Data Analyst","Data Analyst","Analyst/Engineer Level"
"Treasury Finance Senior Consultant","Other Consultant level","Consultant Level"
"Lead Data Governance Consultant","Data Consultant","Consultant Level"
"Principal Data Analyst","Data Analyst","Analyst/Engineer Level"
"Hadoop Data Analyst / Business Analyst","Data Analyst","Analyst/Engineer Level"
"Commercial Bank – Fraud Strategy & Analytics Manager","Analytics Manager","Manager Level"
"Corrections Data Analyst I","Data Analyst","Analyst/Engineer Level"
"Data Analyst Lead for WPO Strategy and Innovation Team","Data Analyst","Analyst/Engineer Level"
"Business Analysis Manager Data Analytics & Reporting Team","Analytics Manager","Manager Level"
"CCOR - CCB Compliance Data Analyst - Associate","Data Analyst","Analyst/Engineer Level"
"Analytics Solutions Manager - Data Analytics - Vice President","Analytics Manager","Manager Level"
"Corrections Data Analyst II","Data Analyst","Analyst/Engineer Level"
"Project Manager-Data Analytics","Analytics Manager","Manager Level"
"Asset Management, Marketing, Digital Data Analyst, Associate","Data Analyst","Analyst/Engineer Level"
"Audit Manager, Risk Management","Audit Manager","Manager Level"
"Finance Control Management - Governance and Reporting - Associate","Other Associate level","Associate Level"
"Operations - Regulatory Change and Control Solutions - Associate - New York","Other Associate level","Associate Level"
"Principal Risk Specialist - Finance Risk Management","Unknown","Unknown"
"Consumer & Community Bank - Control Management - Data & Analytics (Data Management & Governance) - Vice President","Unknown","Unknown"
"Risk, Corporate Risk, Risk Regulation, Sr Associate / VP - New York","Other Associate level","Associate Level"
"Internal Audit, Transaction Banking, Associate - New York","Internal Auditor","Audit Level"
"Audit Manager - Quality Assurance","Audit Manager","Manager Level"
"Internal Audit, Consumer and Commercial Banking Technology, Associate","Internal Auditor","Audit Level"
"Operations – Treasury Services – Treasury Operations – Associate – New York","Other Associate level","Associate Level"
"Internal Audit, Consumer and Commercial Banking Technology, Associate - Dallas","Internal Auditor","Audit Level"
"Principal Auditor, Risk Management","Other Auditor level","Audit Level"
"Technology Audit Senior Manager","Audit Manager","Manager Level"
"Internal Audit, Consumer and Commercial Banking, Associate - Dallas","Internal Auditor","Audit Level"
"Manager, Technology Auditor"," Technology Auditor","Audit Level"
