Job_Title,New_JobTitle,Job_Level
Analytics Consultant,Analytics Consultant,Consultant Level
Microsoft Analytics Consultant,Analytics Consultant,Consultant Level
"Manager, Decision Analytics - Retail Media",Analytics Manager,Manager Level
Analytic Consultant 4- Strategic Analytic Consultant (People Analytics),Analytics Consultant,Consultant Level
"Data Analyst, Partner Health Monitoring",Data Analyst,Analyst/Engineer Level
Data Management Data Analyst,Data Analyst,Analyst/Engineer Level
Senior Data Analyst,Data Analyst,Analyst/Engineer Level
Hadoop Data Analyst / Business Analyst,Data Analyst,Analyst/Engineer Level
Media Analytics Manager,Analytics Manager,Manager Level
"Data Science and Analytics Manager, Alexa AI",Analytics Manager,Manager Level
Speech Analytics Manager,Analytics Manager,Manager Level
Senior Analytics Consultant,Analytics Consultant,Consultant Level
Data Analytics Manager,Analytics Manager,Manager Level
"Senior Data Analyst, Business Intelligence (QuoteCenter)",Data Analyst,Analyst/Engineer Level
"Analytics Manager, Business Marketing Research and Intelligence",Analytics Manager,Manager Level
Corporate - Control Manager - Data Analytics and Product Development - Vice President,Analytics Manager,Manager Level
Senior Marketing Analytics Manager,Analytics Manager,Manager Level
GBAM Data Management - Data Analyst,Data Analyst,Analyst/Engineer Level
Product Manager & Product Strategist - Reinforcement Learning for Financial Services Analytics Applications,Analytics Manager,Manager Level
"Manager, Customer Analytics",Analytics Manager,Manager Level
Principal Data Analyst,Data Analyst,Analyst/Engineer Level
Analytic Consultant 5- Senior Strategic Analytic Consultant (People Analytics),Analytics Consultant,Consultant Level
Digital Marketing Analyst,Marketing Analyst,Analyst/Engineer Level
Commercial Banking - Business Analytics Manager - VP,Analytics Manager,Manager Level
Sr. ACES Analytics Manager,Analytics Manager,Manager Level
Senior Data Analyst - Prime Brokerage Tech,Data Analyst,Analyst/Engineer Level
Analytics Consultant - 72112BR,Analytics Consultant,Consultant Level
"Sr. Data Analyst, Online Delivery Analytics",Data Analyst,Analyst/Engineer Level
PFNA Data Analyst,Data Analyst,Analyst/Engineer Level
"Asset Management, Marketing, Digital Data Analyst, Associate",Data Analyst,Analyst/Engineer Level
"Finance Manager, Database & Analytics Specialized Sales",Analytics Manager,Manager Level
Lead Analytics Consultant-BI Consultant,Analytics Consultant,Consultant Level
Analytics Consultant – Procurement,Analytics Consultant,Consultant Level
Senior Data Analyst – Interconnected Delivery Strategy,Data Analyst,Analyst/Engineer Level
Workforce Strategy Analytics Manager,Analytics Manager,Manager Level
Associate Wealth Strategies Advisor,Other Advisor,Lead/Advisor Level
Talent Analytics Manager,Analytics Manager,Manager Level
Commercial Bank - Fraud Strategy & Analytics Manager,Analytics Manager,Manager Level
"Senior Data Analyst, Delivery",Data Analyst,Analyst/Engineer Level
"Manager, Mission Control Analytics",Analytics Manager,Manager Level
"Principal Product Manager, Product and Analytics",Analytics Manager,Manager Level
Senior Data Analyst - Supply Chain Analytics,Supply Chain Analyst,Analyst/Engineer Level
Watson Health- Analytic Consultant (Early Professional),Other Consultant level,Consultant Level
Marketing Data Analyst,Data Analyst,Analyst/Engineer Level
"Principal Product Manager Tech, Brand Analytics",Analytics Manager,Manager Level
Senior Data Analyst - Supply Chain,Supply Chain Analyst,Analyst/Engineer Level
Watson Health- Business/Data Analyst,Data Analyst,Analyst/Engineer Level
"Data Analytics Manager, LTS - Legal",Analytics Manager,Manager Level
"Corrections Data Analyst II - Columbus, OH",Data Analyst,Analyst/Engineer Level
Digital Analytics Leader,Analytics Lead,Lead/Advisor Level
Lead Analytics Consultant,Analytics Consultant,Consultant Level
SERVICES SENIOR OPERATIONS DATA ANALYST,Data Analyst,Analyst/Engineer Level
Watson Health Analytic Industry Consultant (Early Professional),Other Consultant level,Consultant Level
Analytic Consultant 4,Other Consultant level,Consultant Level
"Sr. Data Analyst, Supply Chain Development",Supply Chain Analyst,Analyst/Engineer Level
Senior Strategy Consultant - Enterprise Strategy (Tech & Data),Data Consultant,Consultant Level
"Data Analyst, Community Operations",Data Analyst,Analyst/Engineer Level
"Senior Data Analyst, Tax Technology",Data Analyst,Analyst/Engineer Level
Data Analyst – Distribution Analytics,Data Analyst,Analyst/Engineer Level
"Data Analyst, Performance Management",Data Analyst,Analyst/Engineer Level
IBM Services Cognitive & Analytics Senior Consultant - US Federal,Analytics Consultant,Consultant Level
"Data Analyst, Media Partnerships",Data Analyst,Analyst/Engineer Level
"Data Analyst, Transportation Analytics",Data Analyst,Analyst/Engineer Level
"Data Analyst, Supply Chain Analytics",Supply Chain Analyst,Analyst/Engineer Level
"Misinformation Data Analyst, Community Operations",Data Analyst,Analyst/Engineer Level
Senior Safety Analytics Manager III,Analytics Manager,Manager Level
"Data Analyst, Product Support Operations",Data Analyst,Analyst/Engineer Level
Data Analyst - Supply Chain,Supply Chain Analyst,Analyst/Engineer Level
Analytics Sr Consultant,Analytics Consultant,Consultant Level
Analytics Consultant - Senior Advisor,Analytics Consultant,Consultant Level
HOME DEPOT PRO DATA ANALYST,Data Analyst,Analyst/Engineer Level
"Payments Data Analyst, Payment Operations",Data Analyst,Analyst/Engineer Level
"2021 IBM Enterprise Strategy, Senior Consultant",Other Consultant level,Consultant Level
"Data Analyst, Law Enforcement Analytics  &  Programs",Data Analyst,Analyst/Engineer Level
The Home Depot PRO - Product Data Analyst,Data Analyst,Analyst/Engineer Level
Senior Managing Consultant - Enterprise Strategy (Tech and Data),Data Consultant,Consultant Level
Analytic Consultant 4 - Tableau Developer,Other Consultant level,Consultant Level
Lead Analytics Consultant - 74424BR,Analytics Consultant,Consultant Level
Analytics Advisor - Reporting Strategy,Analytics Advisor,Lead/Advisor Level
"IBM Enterprise Strategy, Senior Strategy Consultant, Health Payer Ind",Other Consultant level,Consultant Level
Principal Analytics Consultant,Analytics Consultant,Consultant Level
Analytic Services Consultant,Other Consultant level,Consultant Level
Lead Analytics Consultant - 66387BR,Analytics Consultant,Consultant Level
Analytic Consultant 4- Recurring Process Analyst (Enterprise Sandbox Remediation),Other Analysts,Analyst/Engineer Level
Clinical Analytics Consultant,Analytics Consultant,Consultant Level
Senior Analytic Consultant,Other Consultant level,Consultant Level
Senior Marketing Analytics Consultant,Analytics Consultant,Consultant Level
Consultant - Product Analytics and Surveillance - Senior,Product Analyst,Analyst/Engineer Level
Digital Analytics Manager,Analytics Manager,Manager Level
Customer Analytics Consultant - Entry Level,Analytics Consultant,Consultant Level
"Analytics Senior Consultant - Medical Economics, M",Analytics Consultant,Consultant Level
Data Engineer - Specialty Analytics Senior Consultant,Data Engineer,Analyst/Engineer Level
IBM Services Business Transformation Senior Consultant - US Federal,Other Consultant level,Consultant Level
Data Analyst - Senior,Data Analyst,Analyst/Engineer Level
Entry Level Federal Consultant - Huntsville,Other Consultant level,Consultant Level
Data Analyst - Data Modeling,Data Analyst,Analyst/Engineer Level
SR. DATA ENGINEER - ANALYTIC CONSULTANT 5,Data Engineer,Analyst/Engineer Level
Digital Leadership Program- Digital Analytics Consultant,Analytics Consultant,Consultant Level
Data Analyst - Mainframe,Data Analyst,Analyst/Engineer Level
Intel Mission Analytics/Data Scientist (TS//SCI),Data Scientist,Scientist/Reseacher Level
Data Analytics Consultant - Rx Merchandising,Analytics Consultant,Consultant Level
Sr Consultant Analytics - (Reporting-SQL/Tableau/SSRS),Analytics Consultant,Consultant Level
SAP S/4HANA Finance Managing Consultant,Other Consultant level,Consultant Level
Customer Analytics Manager,Analytics Manager,Manager Level
Sr Informatics Consultant Lead/Sr. Data Analyst,Data Analyst,Analyst/Engineer Level
Process Innovation Consultant,Other Consultant level,Consultant Level
"Medical Economics, Senior Consultant ",Other Consultant level,Consultant Level
Diabetes Innovation Strategy Advisor,Other Advisor,Lead/Advisor Level
Process Innovation - Member Strategy Advisor,Other Advisor,Lead/Advisor Level
SAP Finance Consultant - Controlling/Asset Accting or Asset Management,Other Consultant level,Consultant Level
Product Manager - Data Analytics,Analytics Manager,Manager Level
"Manager, Marketing Analytics (CRM) - HBO Max",Analytics Manager,Manager Level
"Senior Manager, Customer Experience & Access Analytics – Cardiovascular",Analytics Manager,Manager Level
"Medical Economics Analyst (Expense Review), Senior",Economics Analyst,Analyst/Engineer Level
"Manager, Marketing Analytics (Media) - HBO Max",Analytics Manager,Manager Level
Strategy Advisor - Pharma Trade Relations,Other Advisor,Lead/Advisor Level
Pharmacy Operations - Data Analyst,Data Analyst,Analyst/Engineer Level
Senior Cloud Architect- Financial Services Cloud,Other Architect level,Developer/Architect Level
Software Engineer/eCom Data Engineer,Data Engineer,Analyst/Engineer Level
"Rebate Claims Data Analyst, Senior",Data Analyst,Analyst/Engineer Level
Digital Leadership Program – Digital Site Optimization Consultant,Other Consultant level,Consultant Level
"Wealth Management, Client Data Analyst",Data Analyst,Analyst/Engineer Level
Project Manager-Data Analytics,Analytics Manager,Manager Level
Commercial Bank – Fraud Strategy & Analytics Manager,Analytics Manager,Manager Level
Analytics and Media Manager,Analytics Manager,Manager Level
Principal Analytics and Media Manager,Analytics Manager,Manager Level
Supply Chain and Data Analyst,Supply Chain Analyst,Analyst/Engineer Level
"Manager, Supply Chain Analytics",Analytics Manager,Manager Level
Principal Technical Program Manager - Device Analytics Team,Analytics Manager,Manager Level
"Manager, Strategic Investment Analytics",Analytics Manager,Manager Level
Software Development Manager - Advertising Analytics,Analytics Manager,Manager Level
"Data Engineering Manager, Analytics ",Data Engineer,Analyst/Engineer Level
"Data Engineering Manager, Analytics (A&BP)",Data Engineer,Analyst/Engineer Level
"Data Engineering Manager, Analytics (A & BP)",Data Engineer,Analyst/Engineer Level
"Data Engineering Manager, Analytics (Marketplace)",Data Engineer,Analyst/Engineer Level
"Data Engineering Manager, Analytics (FB App)",Data Engineer,Analyst/Engineer Level
"Data Engineering Manager, Analytics - Facebook Reality Labs",Data Engineer,Analyst/Engineer Level
"Data Engineering Manager, Analytics (Messenger)",Data Engineer,Analyst/Engineer Level
"Data Engineering  Manager, Analytics - Facebook Reality Labs",Data Engineer,Analyst/Engineer Level
Software Sr. Engineer - HR Data Analyst,Data Analyst,Analyst/Engineer Level
SAP Data Management and Analytics Lead,Analytics Lead,Lead/Advisor Level
Microsoft Analytics Go to Market Leader,Analytics Lead,Lead/Advisor Level
SAP Capital Program and Project Management (PPM) (PS) Consultant,Other Consultant level,Consultant Level
SAP Master Data Governance (MDG) Consultant,Data Consultant,Consultant Level
Appian Architect /Strategy Consultant,Other Consultant level,Consultant Level
SAP HANA and S/4 Embedded Analytics,Unknown,Unknown
