Company_Name,Size,Market_Cap,Revenue_2020Q2,Revenue_2019Q2,Revenue_Growth_Q2,Revenue_2020Q3,Revenue_2019Q3,Revenue_Growth_Q3
JPMorgan Chase Co.,257.00,310.00,32980.00,29570.00,11.53,29147.00,29341.00,-0.66
Wells Fargo,263.00,96.00,17836.00,21600.00,-17.43,18862.00,20010.00,-5.74
Truist,59.00,57.00,5815.00,3558.00,63.43,5513.00,2977.00,85.19
Capital One,53.00,36.00,6414.00,7124.00,-9.97,7238.00,6759.00,7.09
Bank of America,213.00,205.00,22326.00,23084.00,-3.28,20336.00,22807.00,-10.83
Goldman Sachs,38.00,73.00,12350.00,9461.00,30.54,9870.00,7470.00,32.13
Morgan Stanley,62.00,89.00,12698.00,10244.00,23.96,10960.00,9395.00,16.66
Nike,75.00,200.00,10594.00,10660.00,-0.62,10100.00,9400.00,7.45
PepsiCo,267.00,197.00,15945.00,16450.00,-3.07,18091.00,17188.00,5.25
Johnson & Johnson,132.00,390.00,18336.00,20562.00,-10.83,21082.00,20729.00,1.70
The Walt Disney Company,210.00,229.00,11779.00,14920.00,-21.05,14707.00,19100.00,-23.00
Sony,112.00,91.00,18294.00,18705.00,-2.20,20128.00,20212.00,-0.42
Omnicom Media Group,70.00,11.00,2800.00,3719.00,-24.71,3206.00,3624.00,-11.53
AT&T,243.00,196.00,40950.00,44957.00,-8.91,42340.00,44588.00,-5.04
CVS Health,290.00,77.00,65341.00,63431.00,3.01,67056.00,64810.00,3.47
The Home Depot,416.00,309.00,38053.00,30839.00,23.39,33536.00,27223.00,23.19
Target,368.00,82.00,22975.00,18422.00,24.72,22632.00,18665.00,21.25
"Lowe's Companies, Inc.",320.00,131.00,27302.00,20992.00,30.06,22309.00,17388.00,28.30
IBM,381.00,112.00,18123.00,19289.00,-6.04,17561.00,18027.00,-2.59
Amazon,789.00,1685.00,88912.00,63404.00,40.23,96145.00,69981.00,37.39
Oracle,135.00,184.00,10439.00,9400.00,11.05,9367.00,9218.00,1.62
Facebook,53.00,774.00,18687.00,16886.00,10.67,21470.00,17652.00,21.63
Intel Corporation,111.00,227.00,19728.00,16505.00,19.53,18333.00,19190.00,-4.47
