JobID,Date,Company_Name,Job_Title,Location,State ,Description,Title_Level,Type,Function,Industry
2181899805,9/30/2020,JPMorgan Chase Co.,Data Analyst,Wilmington,DE,"As a member of our Business Analysis team, you'll play a crucial role in identifying, improving, and developing technology solutions that drive our strategic goals. This is a tremendous opportunity to learn about high-priority initiatives and collaborate with colleagues throughout the firm. Working at the intersection of business and technology, you'll sharpen your understanding of business processes and data analysis, while continuing to develop your leadership, management, and communication skills. No matter where your career ultimately takes you, you'll make a meaningful impact and lasting connections with outstanding colleagues and mentors. Our Global Technology & Digital Platform Services Workforce Strategy Team is a group of talented individuals that defines high-impact, long-term strategies to build world-class teams and an enabling culture in two of JPMC’s largest tech-centric groups, Global Technology (GT) and Digital & Platform Services (DPS). Use your data wrangling skills, creativity, and close collaboration with stakeholders at all levels to support the organization in data-driven decision making. Develop expertise in using workforce analytics to root out fundamental issues, synthesize elegant insights, and drive to clear decisions This role requires a wide variety of strengths and capabilities, including: - BS/BA degree or equivalent experience - A strong understanding of at least one business function in the firm, as well as a broader understanding of other areas. - Proficiency in business applications, data usage, and management - Ability to liaison between lines of business and the development team, while working with a wide range of stakeholders and collaborating with your team - Ability to work collaboratively in teams and develop meaningful relationships to achieve common goals - Curious to explore data and unveil insights to create a business story and to impact key business decisions - Passionate about building an innovative culture - Ability to develop, test,  and communicate  a data-driven hypothesis  or product  in a compelling manner to teammates and senior leadership in order to promote evidence-based decision-making - Generate data insights to strengthen stakeholders' data literacy and drive data-driven decision-making - Comfort in communicating with senior leaders and stakeholders across functions and levels - Ability to ensure successful execution and project management of large-scale, non-linear projects with high degree of independent time management - Ability to clean and analyze large amounts of disparate, unstructured data into valuable business insights - Articulate findings clearly and concisely through  presentations, discussions and visualizations - Interest in building new analytical and software skills in a results-driven business context - Advanced proficiency in Excel - Familiarity with statistical methods and software (R, Python, Stata) is a plus - Knowledge of Tableau, basic coding, and/or data science methods is a plus - Passion to learn new analytics tools and methodologies as part of your job Show more",Analyst/Engineer Level,Full-time,Information Technology,Financial Services & Investment Banking
2151270253,9/25/2020,Wells Fargo,Other Consultant level,New York,NY,"Job Description  Important Note During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume when submitting your application for consideration. To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as 'Personal Cell' or 'Cellular' in the contact information of your application.  At Wells Fargo, we want to satisfy our customers' financial needs and help them succeed financially. We're looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you'll feel valued and inspired to contribute your unique skills and experience.  Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.  Enterprise Finance drives financial management for the company and maintains and enhances risk and financial controls. Key functions within Enterprise Finance include finance and accounting; Treasury; corporate development, mergers, and acquisitions; Data Management and Insights, the Customer Remediation Center of Excellence, Enterprise Shared Services, Business Process Management, and Corporate Strategy. Enterprise Finance informs shareholders, regulators, taxing authorities, team members, and leaders of the company's financial performance through earnings releases, investor meetings and conferences, and meetings with regulators and credit rating agencies, following appropriate reporting guidelines. They also maintain and enhance risk and financial controls and lead many of the company's shared services functions including corporate properties, security, and global services.  The Collateral Management Unit is part of Corporate Treasury within Wells Fargo Corporate Finance and is charged with analyzing enterprise collateral reporting with the intent of driving optimization efforts as well as playing a key role in governing the enterprises' Collateral positions.  In this role, the Treasury Finance Senior Consultant position will report to the group's head of stress testing and help support the creation and/or maintenance of various stress tests as well as being heavily involved in or leading specific elements relating to the automation of these tests (including related inputs). The successful candidate will gain significant responsibility for projects as a key member of a lean, dedicated team and will gain a thorough understanding of the risks of Well Fargo's on and off balance sheet exposures.  Responsibilities are varied but may include           The ideal candidate will have a background in liquidity risk at a top tier Investment Bank or Management Consulting Firm. She/he will have a demonstrated track record of attention to detail and critical thinking skills. She/he will possess excellent collaboration and organization skills, with a proven ability to develop cross-functional relationships and the capability to manage to deadlines. She/he will be able to work independently, be highly organized, able to prioritize multiple tasks and take on new challenges. She/he will have strong communication and presentation skills and is adept at building presentations and managing multiple projects simultaneously, each with a tight deadline.       550 S Tryon St - Charlotte, NC 30 Hudson Yards - New York, NY    All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.  Relevant military experience is considered for veterans and transitioning service men and women.  Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.   5551530-1 Show more",Consultant Level,Full-time,Finance,Financial Services & Investment Banking
2151159898,9/16/2020,Truist,Data Consultant,Greensboro,NC,"Job Description  Specific information related to the position is outlined below. To apply, click on the button above. You will be required to create an account (or sign in with an existing account). Your account will provide you access to your application information.      Regular  English (Required)    1st shift (United States of America)    The Lead Data Governance Consultant is responsible for supporting Data Governance across the enterprise, enabling business growth while ensuring compliance with risk and regulatory expectations. The position partners with various business and technology stakeholders to influence and drive adoption of related Enterprise Data Management strategies, policies, standards and control frameworks. The role evaluates established and emerging data practices and technologies to drive the team’s direction, while implementing innovative processes and solutions to provide competitive advantage while meeting rigorous control and oversight mandates.        Thank you for your interest in Truist! BB&T and SunTrust have come together in a transformational merger of equals to create Truist, the premier financial organization in the country. You may notice references to our legacy company names, BB&T and SunTrust, in places throughout this site. All such references should be understood to refer to Truist moving forward while we continue to transition to the Truist name.  Show more",Consultant Level,Full-time,Information Technology,Financial Services & Investment Banking
2166019640,9/12/2020,Capital One,Data Analyst,Vienna,VA,"Towers Crescent (12066), United States of America, Vienna, Virginia  Principal Data Analyst  At Capital One, data is at the center of everything we do. When we were a tiny startup we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and that little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making.  Working on Eno, Capital One's intelligent assistant, as a Principal Associate of Data Analytics, you will partner cross-functionally with teams throughout the company to uncover valuable insights. You will enhance your data science, technical and analytical skills, while also working with product managers, data scientists and analyst’s to validate business strategies, experiments and modelling efforts, and may lead a team of analysts providing crucial data products to internal customers. With a network of hundreds of Data Analysts, Quants, and Data Scientists, challenging projects with an eye on the bottom line and a focus on work/life balance, we’ve created a dynamic environment with plenty of room for you to learn, grow, and realize your full potential.                Capital One will consider sponsoring a new qualified applicant for employment authorization for this position.  Capital One will consider sponsoring a new qualified applicant for employment authorization for this position.  Job Category - Strategy, Sponsored, Analytics, Product Innovators, Company Builders Show more",Analyst/Engineer Level,Full-time,Information Technology,Financial Services & Investment Banking
2163667994,9/15/2020,Bank of America,Data Analyst,Charlotte,NC,"Job Description  Customer Relationship Hub (CRH) team is seeking a Hadoop Data Analyst / Business Analyst with strong communication, interpersonal and organization skills. This person will interface with LOB project team, solution architecture team and CRH development team to understand business requirements and convert them into data requirements. This person will quickly become SME on CRH data, understand data lineage and be able to provide consultation to LOB users about CRH data.  This is an exciting opportunity to join a strategic application which is embarking on migrating to Hadoop platform.             1st shift (United States of America)    40 Show more",Analyst/Engineer Level,Full-time,Information Technology,Financial Services & Investment Banking
2015342190,8/21/2020,JPMorgan Chase Co.,Analytics Manager,Tampa,FL,"Commercial Bank – Future Threats Fraud Strategy Manager Team Overview The CB Global Services Fraud function is responsible for designing and delivering the strategies to protect both the firm and its clients from losses covering all products and channels.  Within this function, the Analytics team will be driving the decision strategies to optimize fraud prevention and client experience measured against a set of KPI’s.  Our clients make a substantial volume of payments covering significant values, all of which can be attacked by external parties. Managing internal fraud losses is also within the remit of the team.   The responsibilities for the Fraud Strategy Future Threats Lead will include: - Identification of new and emerging threats - Keeping up to date with new and emerging technologies to protect the firm and clients from losses - Ensure all new products and services have been assessed for fraud risks and appropriate controls are included to mitigate risks identified - Ensuring compliance of fraud policies and controls with Governance and Change Control procedure - Engage with industry peers to ensure awareness of attack vectors Key specific accountabilities: - Build robust fraud control framework for new capabilities balancing the requirements for control and customer experience at the optimal level - Keep update knowledge of latest fraud attack vectors and design processes and controls to mitigate the risk - Work with product partners to ensure new products are fully evaluated to mitigate fraud risk with appropriate controls - Support Strategic Fraud initiatives or Bank-wide initiatives outlined by the business in relation with fraud strategy and policy rules Stakeholder management and leadership: - Engage with Senior Management on areas of fraud future threats and drive changes to mitigate the risk. - Participate in bank-wide projects and interact with external vendor as representative of Fraud Risk Management team. - Demonstrate ability to influence senior stakeholders to drive a strong control environment. Decision making and problem solving: - Knowledge and judgment to identify fraud risks through product review - Ability to carefully assess and make good judgment decisions regarding changes to changes in control frameworks - Requires good fraud instincts in development of fraud strategies anticipating the potential impact to genuine customers while preventing fraud losses. - Demonstrate knowledge of working with FinTechs and vendor to assess new fraud tools effectiveness - Ability to understand the entire authorization process flow to ensure effectiveness of fraud controls Qualifications  - Master’s degree in Business, Finance, or related field required - Minimum 5 years of relevant work experience - Proven ability to multi task with a sense of urgency - Able to adapt quickly - To new functional areas and/or concepts - To changing and or competing priorities  - Proven strong analytical and communication skills - Advance Microsoft Excel skills (pivot tables, macros, look-up functions, etc.) - Strong Proficiency with other Microsoft Applications (PowerPoint, Access, Visio, Word) - Articulate, confident and capable to communicate and influence Senior Executives - Problem solving, good critical thinking, and decision making skills - Experience/understanding of Business Process - High attention to detail - Self-motivated and driven to achieve targets and deliverables  Show more",Manager Level,Full-time,SalesManagement,Financial Services & Investment Banking
2174707949,9/25/2020,JPMorgan Chase Co.,Data Analyst,Columbus,OH,"Position Overview CCB Remediation and Corrections team manages the process to triage, fix, correct, and eliminate customer impact caused by a business process or operational break. CCB Correction Analytics COE team plays extremely critical function to support Analytics throughout the entire correction process, which entails to identify the impacted, calculate financial harms, execute to have customer appropriately refunded and/or notified based on various correction strategies. The CCB Correction Analytics COE was built in 2017 with a vision to have high talent Data Analysts centralized to support multiple LOB correction efforts including Consumer Banking, Business Banking, CWM and Credit Card. This COE model provides increased career mobility, better training, stronger controls and more opportunities to allow analysts to work across multiple LOBs. In order to excel in Correction Analytics, the individual needs to be highly motivated, highly analytical, extremely detail oriented, and an exceptional problem solver who take pride in being part of the correction organization that owns customer’s issues from the beginning to end, fix their problems and deliver great customer experiences. Skills/Competency Requirements - Use SQL and SAS to pull and wrangle data - Proficient coder - Able to pull data, aggregate/group by fields , and remove duplicate observations  - Proficiency with standard MS Office tools (Excel, Word, etc.) - Possess good verbal and written communication skills - Exhibit strong process adherence discipline - Throughout the life cycle of a project, specific process control procedures and documentation must be followed and completed by the CA (Corrections Analyst)  - Must be detailed and quality assurance oriented -  Willingness to ask questions to fully understand the break and correction activities - Able to deep dive and do root cause analysis - Be able to work multiple problems simultaneously -  Typically a CA will be assigned one to two cases at once - Understanding of the data infrastructure in a financial services organization will be a plus - JPMC product, data table, and/or structure knowledge preferred Knowledge/Experience/Education Requirements - Basic SQL experience – joining, filtering, and aggregating data tables - Basic SAS knowledge related to data-step programming - College degree and up to 5 years experience - MS Office experience - Experience working on multiple projects at once - JPMC Product knowledge preferred - JPMC Data knowledge preferred Show more",Analyst/Engineer Level,Full-time,Information Technology,Financial Services & Investment Banking
2157930386,9/30/2020,JPMorgan Chase Co.,Data Analyst,Tampa,FL,"Wholesale Payments Operations (WPO) is part of the Digital & Platform Services organization in the Corporate & Investment Bank. WPO supports Payments, Receivables, and Trade Finance Products and acts as the payment hub for JPMorgan Chase, across the firm’s business lines. WPO consists of 5,500 employees across 60 sites and supports 142k corporations, financial institutions, governments and municipalities domiciled in over 180 countries. On average, WPO processes 30.1MM transactions daily across 122 currencies valued at $3.2T. Wholesale Payments Operations and the Payments industry as a whole are undergoing significant amounts of change and disruption – industry, technology, and organizational. It is critical to develop and execute on a strategy that will enhance the organization’s business and operational model and position it for continued success. Role Description: We are seeking an Vice President level candidate to lead diagnostics initiatives across the WPO organization. The role will report directly to the Data Science Manager within Wholesale Payments Operations – Strategy & Innovation Team. The successful candidate will build and leveraging sophisticated diagnostics toolsets, identifying insights, developing transformation opportunities across WPO. This role will interact and collaborate with Operations Leaders and their respective organizations, key partners across Digital & Platform Services including Operations Transformation, Data Science, Technology and Business colleagues.  In addition, the candidate should have  data engineering capabilities, knowledge and skills.  This role is ideal for a highly motivated individual with advanced analytics, problem solving, influencing, interpersonal and communication skills.  Responsibilities: •       Leverage diagnostic toolsets including (taxonomy, workforce discovery, digital process discovery, process mapping, manual touchpoints, and email rationalization) to gain insight into what WPO does and how it is performed. •       Lead data analysis and bring order to the various separate diagnostic datasets to connect them together to generate and deliver insights to key stakeholders. ·         Lead technology conversations as it relates to Architecture, data structures, data modeling and perform the capabilities necessary to produce the results required in order to drive successful adoption of a data driven decision making mindset. ·         Lead discussions and influence the partners to develop and successfully establish the technology foundation required for data analytics to be put into the hands of the Operations Leads, Operations Analyst using Operations friendly tools. Skills Required / Qualifications •               Strong analytics experience – Alteryx, Excel •               Strong data visualization – Tableau (Preferred) / Qlik •               Complex problem-solving skills •               High tolerance for ambiguity •               Ability to build relationships with and influence colleagues and partners •               Confident communicator with ability to provide clear and succinct verbal and written updates •               Superior execution skills •               Strong risk and control mindset •               Ability to work independently, make leadership decisions which will highlight and align to the strategic direction of the program and operations benefits •               Ability to lead team members to deliver complex solutions or through complex business problems (matrix and direct hierarchy) Show more",Analyst/Engineer Level,Full-time,Information Technology,Financial Services & Investment Banking
2150757354,9/17/2020,JPMorgan Chase Co.,Analytics Manager,San Antonio,TX,"Role Description ·         Responsible as the day-to-day technical expert in a functional area or business partner ·         Frequently resolves projects/complex assignments with little supervision ·         Ensures projects are completed according to established timelines ·         Participates in cross-functional teams as an SME from MIS ·         Duties may include, but are not limited to developing analytics, reporting dashboards, and providing technical solutions for complex issues faced by business partners ·         Gathering and analyzing complex data, developing and implementing improvement recommendations ·         Subject matter expert for specific functions, programs, and processes ·         Handles complex analysis, identifying risks and opportunities with solution recommendations for their functional area of expertise ·         Participates in tactical decision making for others according to defined processes and procedures. ·         Role could expand from individual contributor to managing staff Qualifications ·         Demonstrated ability to understand Credit Card Business process & procedures and tie these to business fundamentals ·         Must have first-hand knowledge of how to procure source data from multiple locations, integrate them together, and provide value add information to our MIS and Business customers ·         General desire and aptitude to learn and adapt to new technologies ·         Must be open to different points of view ·         Candidate will be expected to become a subject matter expert and trusted partner for our customers ·         Anticipates and resolves both customer and general issues with a sense of urgency Technology Experience ·         Preferred -R, Python, Tableau, Alteryx, Anaconda, HIVEQL ·         Required – Ability to write/understand SQL (PL/SQL, T/SQL, PostgreSQL or similar) ·         Required – Creating and deploying reports with a BI tool (examples include but not limited to SSRS, Tableau, Microstrategy, Clickview, ) ·         Required-Sourcing and compiling data from a tool with ETL capabilities(examples include but not limited to SSIS, Alteryx, Trifacta, Abinitio, R, SAS) Education Requirements ·         Bachelor’s degree preferred, but relevant work experience/post-secondary education will be considered. Show more",Manager Level,Full-time,Business DevelopmentSales,Financial Services & Investment Banking
2150514548,9/15/2020,JPMorgan Chase Co.,Data Analyst,Plano,TX,"JPMorgan Chase & Co . (NYSE: JPM) is a leading global financial services firm with assets of $2.5 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the worlds most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com .  Consumer & Community Banking (CCB) Compliance team plays a critical role in developing and maintaining a strong compliance culture by working closely with management, Legal, Risk and Audit functions to advise on regulatory compliance matters. CCB Compliance identifies, measures, manages and controls compliance-related risks while monitoring and testing the adequacy of CCB's compliance control environment.  This role will assist in enabling the transformation of CCB Home Loans Compliance Monitoring from a manual process based organization to one that will leverage Automation, Machine Learning, Natural language processing, voice analytics, text mining, etc., to assess conformance with regulatory requirements impacting the home lending business.  This individual will work closely with the Agile team of compliance professionals, various data science and technology groups, who utilize the firm's system of record data resources to assess whether products and services offered by Chase's Home Lending business and related processes are in compliance with both the letter and spirit of applicable laws and regulations.     JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.  We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.  Equal Opportunity Employer/Disability/Veterans Show more",Analyst/Engineer Level,Full-time,Other,Financial Services & Investment Banking
