Location,State,State_Name,Latitude,Longtitude
Albuquerque,NM,New Mexico,35.0844,-106.6504
Arlington,VA,Virginia,38.887103,-77.093197
Armonk,NY,New York,41.136002,-73.700942
Atlanta,GA,Georgia,33.749788,-84.31685
Aurora,IL,Illinois,41.758209,-88.297139
Austin,IN,Indiana,38.747801,-85.796188
Austin,TX,Texas,30.505972,-97.747187
Avenel,NJ,New Jersey,40.582568,-74.278522
Avondale,AZ,Arizona,33.432114,-112.343754
Bakersfield,CA,California,35.386611,-119.017063
Baltimore,MD,Maryland,39.17185,-76.648287
Baton Rouge,LA,Louisiana,30.450731,-91.186954
Beaumont,CA,California,33.950429,-116.970079
Beaverton,OR,Oregon,45.475035,-122.805395
Bellevue,WA,Washington,47.619899,-122.207371
Beloit,WI,Wisconsin,42.522871,-89.039897
Bessemer,AL,Alabama,33.409002,-86.947547
Bethesda,MD,Maryland,38.9806,-77.1008
Bethpage,NY,New York,40.740014,-73.485727
Blue Bell,PA,Pennsylvania,40.15939,-75.279656
Boca Raton,FL,Florida,26.3583,-80.0833
Bondurant,IA,Iowa,41.70166,-93.452689
Boston,MA,Massachusetts,42.357603,-71.068432
Breinigsville,PA,Pennsylvania,40.552621,-75.655269
Bronx,NY,New York,40.8222,-73.921735
Brookhaven,MS,Mississippi,31.58581,-90.451995
Brooklyn,NY,New York,40.694021,-73.99034
Brooklyn Park,MN,Minneapolis,45.0941,-93.3563
Buena Park,CA,California,33.840607,-118.011359
Buffalo Grove,IL,Illinois,42.159843,-87.964364
Burbank,CA,California,34.186238,-118.300898
Burlington,NJ,New Jersey,40.068015,-74.845353
Byhalia,MS,Mississippi,34.885351,-89.676332
California,PA,Pennsylvania,40.062529,-79.895319
California City,CA,California,35.125833,-117.985
Cambridge,MA,Massachusetts,42.377045,-71.125611
Campbellsville,KY,Kentucky,37.346618,-85.350755
Carteret,NJ,New Jersey,40.582278,-74.231345
Chandler,AZ,Arizona,33.330091,-111.863156
Chantilly,VA,Virginia,38.8865,-77.4393
Charlotte,NC,North Carolina,35.2269,-80.8433
Cherryville,NC,North Carolina,35.374742,-81.350893
Chicago,IL,Illinois,41.885847,-87.618123
Cleveland,OH,Ohio,41.4918,-81.6757
Columbus,OH,Ohio,40.105155,-83.010069
Commack,NY,New York,40.843032,-73.279924
Conshohocken,PA,Pennsylvania,40.079848,-75.301332
Cranbury,NJ,New Jersey,40.303868,-74.506531
Crest Hill,IL,Illinois,41.566239,-88.116924
Culver City,CA,California,33.994927,-118.399115
Cumberland,RI,Rhode Island,41.948352,-71.415419
Cupertino,CA,California,37.317363,-122.038604
Dallas,TX,Texas,32.996848,-96.792113
Danbury,CT,Connecticut,41.391663,-73.453165
Davenport,FL,Florida,28.22,-81.6205
Dedham,MA,Massachusetts,42.243685,-71.163741
Delaware,TX,Texas,38.9108,-75.5277
Denver,CO,Colorado,39.746931,-105.062036
Durham,NC,North Carolina,35.996725,-78.896613
Edison,NJ,New Jersey,40.517079,-74.397286
Edwardsville,IL,Illinois,38.804967,-89.963697
Elgin,IL,Illinois,42.038356,-88.260631
Elizabeth,NJ,New Jersey,40.67169,-74.204335
Englewood Cliffs,NJ,New Jersey,40.882043,-73.954449
Erlanger,KY,Kentucky,39.008238,-84.597745
Etna,OH,Ohio,39.957222,-82.681944
Euclid,OH,Ohio,41.569615,-81.525686
Evansville,IN,Indiana,37.9746,-87.5674
Florence,NJ,New Jersey,40.118025,-74.805515
Fort Worth,TX,Texas,32.7469,-97.3268
Fremont,CA,California,37.560493,-121.999935
Frisco,TX,Texas,33.149901,-96.824105
Glen Allen,VA,Virginia,37.6658,-77.5066
Glendale,CA,California,34.171606,-118.289892
Goodyear,AZ,Arizona,33.436809,-112.383385
Greenfield,IN,Indiana,39.790204,-85.814102
Greensboro,NC,North Carolina,36.069741,-79.768151
Greenville,SC,South Carolina,34.847165,-82.406049
Hampton,VA,Virginia,37.100565,-76.409939
Harrisburg,OR,Oregon,44.271656,-123.143165
Harrisburg,PA,Pennsylvania,40.261767,-76.883079
Hartford,CT,Connecticut,41.7636,-72.6855
Hazle Township,PA,Pennsylvania,40.9568,-76.0672
Herndon,VA,Virginia,38.9764,-77.3839
Hillsboro,OR,Oregon,45.498401,-122.956998
Horn Lake,MS,Mississippi,34.9519,-90.050719
Houston,TX,Texas,29.596156,-95.458709
Huntsville,AL,Alabama,34.726866,-86.567318
Irvine,CA,California,33.7357,-117.7672
Irving,TX,Texas,32.842,-96.9719
Jacksonville,FL,Florida,30.0759,-81.5803
Jefferson,GA,Georgia,34.106197,-83.570813
Jeffersonville,IN,Indiana,38.307767,-85.735885
